자치구,행정동,CNG,LNG,경유,기타연료,수소,엘피지,전기,하이브리드,휘발유,합계,시군구명_x,행정동코드,읍면동명_x,생성일자_x,말소일자_x,시군구명_y,읍면동명_y,법정동코드,동리명,생성일자_y,말소일자_y
서대문구,북아현동,12,0,1280,8,6,224,88,390,2513,4521,서대문구,1141055500,북아현동,20080506,,서대문구,북아현동,1141011000,북아현동,20080506,
서대문구,신촌동,0,0,1134,8,7,263,61,255,2175,3903,서대문구,1141058500,신촌동,20080506,,서대문구,신촌동,1141011200,대현동,20080506,
서대문구,연희동,8,0,2998,6,16,598,199,650,5331,9806,서대문구,1141061500,연희동,20080506,,서대문구,연희동,1141011700,연희동,20080506,
서대문구,천연동,1,0,1403,5,3,252,75,413,2734,4886,서대문구,1141052000,천연동,19981001,,서대문구,천연동,1141010500,냉천동,19880423,
서대문구,충현동,10,0,2362,40,6,420,204,465,3341,6848,서대문구,1141056500,충현동,20080506,,서대문구,충현동,1141010100,충정로2가,20080506,
서대문구,홍은1동,43,0,2183,7,7,490,109,491,3773,7103,서대문구,1141066000,홍은제1동,19880423,,서대문구,홍은제1동,1141011800,홍은동,19880423,
서대문구,홍은2동,10,0,2523,30,12,627,134,515,4456,8307,서대문구,1141068500,홍은제2동,20080506,,서대문구,홍은제2동,1141011800,홍은동,20080506,
서대문구,홍제1동,5,0,2069,11,10,412,119,564,3979,7169,서대문구,1141062000,홍제제1동,19880423,,서대문구,홍제제1동,1141011100,홍제동,19880423,
서대문구,홍제2동,1,0,938,1,2,204,47,318,2162,3673,서대문구,1141065500,홍제제2동,20080506,,서대문구,홍제제2동,1141011100,홍제동,20080506,
서대문구,홍제3동,1,0,1511,4,4,338,70,343,2546,4817,서대문구,1141064000,홍제제3동,19880423,,서대문구,홍제제3동,1141011100,홍제동,19880423,
서초구,내곡동,118,0,2591,15,14,827,243,609,3844,8261,서초구,1165066000,내곡동,19880423,,서초구,내곡동,1165010900,내곡동,19880423,
서초구,반포1동,0,0,2701,26,8,250,317,1120,7031,11453,서초구,1165056000,반포1동,19880423,,서초구,반포1동,1165010700,반포동,19880423,
서초구,반포2동,0,0,1924,14,6,125,305,1022,5480,8876,서초구,1165057000,반포2동,19880423,,서초구,반포2동,1165010700,반포동,19880423,
서초구,반포3동,0,0,1976,5,5,190,162,868,5299,8505,서초구,1165058000,반포3동,19880423,,서초구,반포3동,1165010600,잠원동,19880423,
서초구,반포4동,0,0,1666,6,10,181,124,643,4276,6906,서초구,1165058100,반포4동,19890901,,서초구,반포4동,1165010700,반포동,19890901,
서초구,반포본동,0,0,337,3,0,65,75,116,456,1052,서초구,1165055000,반포본동,19880423,,서초구,반포본동,1165010700,반포동,19880423,
서초구,방배1동,175,0,1973,7,11,292,145,541,3552,6696,서초구,1165060000,방배1동,19880423,,서초구,방배1동,1165010100,방배동,19880423,
서초구,방배2동,69,0,1678,10,11,330,74,428,3229,5829,서초구,1165061000,방배2동,19880423,,서초구,방배2동,1165010100,방배동,19880423,
서초구,방배3동,0,0,1522,4,6,164,99,660,3636,6091,서초구,1165062000,방배3동,19880423,,서초구,방배3동,1165010100,방배동,19880423,
서초구,방배4동,2,0,2124,20,4,276,133,652,4594,7805,서초구,1165062100,방배4동,19910907,,서초구,방배4동,1165010100,방배동,19910907,
서초구,방배본동,25,0,2235,10,14,284,111,683,4420,7782,서초구,1165059000,방배본동,19880423,,서초구,방배본동,1165010100,방배동,19880423,
서초구,서초1동,19,0,5937,53,10,479,923,1261,8036,16718,서초구,1165051000,서초1동,19880423,,서초구,서초1동,1165010800,서초동,19880423,
서초구,서초2동,1,0,2595,18,8,194,273,879,5809,9777,서초구,1165052000,서초2동,19880423,,서초구,서초2동,1165010800,서초동,19880423,
서초구,서초3동,22,0,4361,100,18,465,371,1248,8475,15060,서초구,1165053000,서초3동,19890427,,서초구,서초3동,1165010100,방배동,19890427,
서초구,서초4동,1,0,2517,20,11,154,239,1320,7544,11806,서초구,1165053100,서초4동,19910907,,서초구,서초4동,1165010800,서초동,19910907,
서초구,양재1동,42,0,6171,48,77,1035,2047,1947,10194,21561,서초구,1165065100,양재1동,19920701,,서초구,양재1동,1165010200,양재동,19920701,
서초구,양재2동,3,0,4769,63,14,637,295,760,5487,12028,서초구,1165065200,양재2동,19920701,,서초구,양재2동,1165010200,양재동,19920701,
서초구,잠원동,0,0,2606,21,9,287,187,981,6267,10358,서초구,1165054000,잠원동,19880423,,서초구,잠원동,1165010600,잠원동,19880423,
